
..................TÜRKİYE VE YAKIN ÇEVRESİNDEKİ SON DEPREMLER....................
.....BÖLGESEL DEPREM-TSUNAMİ İZLEME VE DEĞERLENDİRME MERKEZİ HIZLI ÇÖZÜMLERİ.....
......(YAPAY SARSINTI ANALİZİ YAPILMAMIŞTIR) Son 500 deprem listelenmiştir......
                                                        Büyüklük
Tarih      Saat      Enlem(N)  Boylam(E) Derinlik(km)  MD   ML   Mw    Yer                                             Çözüm Niteliği
2021.04.23 16:59:41  36.3898   27.1577        8.6      -.-  2.3  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.23 16:57:26  37.0598   29.0800        2.7      -.-  1.9  -.-   YOLCATI-ACIPAYAM (DENIZLI)                        İlksel
2021.04.23 16:34:36  36.4815   27.1487        1.2      -.-  2.4  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.23 16:19:55  37.2463   28.7808       29.6      -.-  1.7  -.-   KARACAOREN-(MUGLA)                                İlksel
2021.04.23 16:14:41  36.4517   27.0585        5.4      -.-  2.3  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.23 16:02:25  36.3130   27.1713       12.9      -.-  2.4  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.23 15:56:25  37.0538   29.0823        6.1      -.-  3.0  -.-   YOLCATI-ACIPAYAM (DENIZLI)                        İlksel
2021.04.23 15:26:38  36.1852   27.4810       15.5      -.-  1.9  -.-   AKDENIZ                                           İlksel
2021.04.23 15:19:15  36.4630   27.1648        9.7      -.-  3.6  3.7   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.23 15:13:42  36.4500   27.0198        7.6      -.-  2.7  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.23 14:28:24  37.9125   26.9390       22.6      -.-  1.9  -.-   KUSADASI KORFEZI (EGE DENIZI)                     İlksel
2021.04.23 13:59:04  38.7927   27.0097       13.9      -.-  1.9  -.-   GUZELHISAR-ALIAGA (IZMIR)                         İlksel
2021.04.23 13:13:25  40.3632   27.6137        7.9      -.-  2.3  -.-   ERDEK KORFEZI (MARMARA DENIZI)                    İlksel
2021.04.23 13:10:59  39.1328   28.1383       10.3      -.-  1.6  -.-   SINANDEDE-SINDIRGI (BALIKESIR)                    İlksel
2021.04.23 12:44:15  36.4733   27.1403        3.0      -.-  2.2  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.23 12:06:20  36.3895   27.1832       18.7      -.-  2.0  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.23 12:01:50  39.3977   33.6083        4.0      -.-  1.7  -.-   BAYRAMOZU-KAMAN (KIRSEHIR)                        İlksel
2021.04.23 11:28:58  36.3867   27.0583       10.2      -.-  2.5  -.-   AKDENIZ                                           İlksel
